tension;pr;depth;position;replicate;kns
1;High PR;Topsoil;OWT;1;0,264
2;High PR;Topsoil;OWT;1;0,14
4;High PR;Topsoil;OWT;1;0,144
6;High PR;Topsoil;OWT;1;0,09
1;High PR;Topsoil;OWT;2;0,303
2;High PR;Topsoil;OWT;2;0
4;High PR;Topsoil;OWT;2;0,091
6;High PR;Topsoil;OWT;2;0,099
1;High PR;Topsoil;OWT;3;0,06
2;High PR;Topsoil;OWT;3;0,038
4;High PR;Topsoil;OWT;3;0,018
6;High PR;Topsoil;OWT;3;0,011
1;High PR;Topsoil;OWT;4;0,054
2;High PR;Topsoil;OWT;4;0,071
4;High PR;Topsoil;OWT;4;0,038
6;High PR;Topsoil;OWT;4;0,036
1;High PR;Subsoil;OWT;1;0,134
2;High PR;Subsoil;OWT;1;0,235
4;High PR;Subsoil;OWT;1;0,191
6;High PR;Subsoil;OWT;1;0,15
1;High PR;Subsoil;OWT;2;0,222
2;High PR;Subsoil;OWT;2;0,262
4;High PR;Subsoil;OWT;2;0,087
6;High PR;Subsoil;OWT;2;0,054
1;High PR;Subsoil;OWT;3;0,195
2;High PR;Subsoil;OWT;3;0,212
4;High PR;Subsoil;OWT;3;0,054
6;High PR;Subsoil;OWT;3;0,013
1;High PR;Subsoil;OWT;4;0,116
2;High PR;Subsoil;OWT;4;0,089
4;High PR;Subsoil;OWT;4;0,044
6;High PR;Subsoil;OWT;4;0,001
1;High PR;Topsoil;WT;1;0,082
2;High PR;Topsoil;WT;1;0,051
4;High PR;Topsoil;WT;1;0,033
6;High PR;Topsoil;WT;1;0,015
1;High PR;Topsoil;WT;2;0,073
2;High PR;Topsoil;WT;2;0,049
4;High PR;Topsoil;WT;2;0,032
6;High PR;Topsoil;WT;2;0,015
1;High PR;Topsoil;WT;3;0,031
2;High PR;Topsoil;WT;3;0,074
4;High PR;Topsoil;WT;3;0,023
6;High PR;Topsoil;WT;3;0,021
1;High PR;Topsoil;WT;4;0,11
2;High PR;Topsoil;WT;4;0,06
4;High PR;Topsoil;WT;4;0,061
6;High PR;Topsoil;WT;4;0,017
1;High PR;Subsoil;WT;1;0,077
2;High PR;Subsoil;WT;1;0,218
4;High PR;Subsoil;WT;1;0,216
6;High PR;Subsoil;WT;1;0,083
1;High PR;Subsoil;WT;2;0,264
2;High PR;Subsoil;WT;2;0,14
4;High PR;Subsoil;WT;2;0,144
6;High PR;Subsoil;WT;2;0,09
1;High PR;Subsoil;WT;3;0,303
2;High PR;Subsoil;WT;3;0
4;High PR;Subsoil;WT;3;0,091
6;High PR;Subsoil;WT;3;0,099
1;High PR;Subsoil;WT;4;0,079
2;High PR;Subsoil;WT;4;0,034
4;High PR;Subsoil;WT;4;0,017
6;High PR;Subsoil;WT;4;0,014
1;Low PR;Topsoil;OWT;1;0,027
2;Low PR;Topsoil;OWT;1;0,013
4;Low PR;Topsoil;OWT;1;0,014
6;Low PR;Topsoil;OWT;1;0,008
1;Low PR;Topsoil;OWT;2;0,026
2;Low PR;Topsoil;OWT;2;0,035
4;Low PR;Topsoil;OWT;2;0,012
6;Low PR;Topsoil;OWT;2;0,017
1;Low PR;Topsoil;OWT;3;0,039
2;Low PR;Topsoil;OWT;3;0,028
4;Low PR;Topsoil;OWT;3;0,018
6;Low PR;Topsoil;OWT;3;0,026
1;Low PR;Topsoil;OWT;4;0,116
2;Low PR;Topsoil;OWT;4;0,078
4;Low PR;Topsoil;OWT;4;0,025
6;Low PR;Topsoil;OWT;4;0,014
1;Low PR;Subsoil;OWT;1;0,068
2;Low PR;Subsoil;OWT;1;0,044
4;Low PR;Subsoil;OWT;1;0,058
6;Low PR;Subsoil;OWT;1;0,032
1;Low PR;Subsoil;OWT;2;0,051
