POINT;COORD_Y;COORD_X;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81
1;34°22.92106S;071°25.34295W;910;910;910;910;910;910;1060;1440;1740;2080;2080;2140;2140;2140;2140;2340;2740;2740;3800;3640;3640;3640;5180;5180;5180;5180;5180;5180;5150;5430;5720;6180;920;820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;34°22.92335S;071°25.34818W;0;0;20;110;110;110;110;190;190;350;670;1510;1510;1920;2100;2100;2100;2100;760;610;840;3270;4190;4190;4360;4360;4360;3910;3910;4020;4520;2440;4170;6270;6380;6380;6380;6100;6230;6230;5820;6770;6770;6770;7000;7270;7470;7690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;34°22.92882S;071°25.35539W;0;0;300;1170;1170;1170;1170;1170;1170;1170;1170;970;970;970;970;970;970;970;970;970;970;970;3080;4290;4550;5290;5790;5420;4380;2290;2290;3330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;34°22.93388S;071°25.36383W;280;280;280;280;280;390;390;390;1090;1350;1840;2200;2800;2800;2800;2800;2800;2720;2730;3310;3700;3720;4670;4670;4540;4540;4540;4540;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;6380;1500;5810;5810;5810;2900;3720;;;;;;;;;;;;;;;
5;34°22.94362S;071°25.36283W;0;0;370;370;960;960;960;960;2680;2680;2680;2680;2680;2680;2680;2680;2680;2680;2680;2680;3040;3040;3250;3380;3100;3680;3680;4460;4460;4460;4490;4490;4490;4200;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;3530;5140;6030;6030;6850;6850;6850;6810;6810;6810;6770;;;;;;;;;;;;;;;;;;;;
6;34°22.94097S;071°25.35631W;0;0;0;40;440;440;700;700;910;910;1080;1080;1080;1120;1120;1120;1120;1120;1070;1070;1070;1070;1070;1180;1180;1180;1180;1340;1340;1340;1340;1340;1360;1360;1510;2460;3180;3500;3800;3800;4060;5040;5420;6770;7070;7400;7400;7400;7400;7540;5340;6520;6520;6830;6830;6760;6670;6670;6700;6510;6510;6510;5520;5520;5520;5520;5810;5810;5990;6580;6830;6830;6900;6900;6730;;;;;;
7;34°22.93709S;071°25.34627W;80;80;80;190;1740;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;2820;3140;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;3680;6210;6210;6210;6210;5570;5570;5570;5570;4550;4550;4550;3690;3690;3690;3690;3690;3690;3690;3690;3690;3690
8;34°22.93194S;071°25.33203W;0;0;0;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2670;2880;2880;2880;2880;2880;2880;2880;3860;3860;3860;7260;7260;7260;7260;7260;7260;7260;7260;7260;7260;7260;7260;7260;7260;6290;5620;6870;6870;6870;6870;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5290;5290;5290;5290;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
9;34°22.94994S;071°25.31155W;50;50;100;100;430;430;430;430;430;430;430;430;430;430;430;430;1440;1440;1440;2390;3810;3810;3810;3920;3920;3920;3920;5620;5620;5620;5620;2020;1400;8240;6420;6750;8160;9040;7620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;34°22.95902S;071°25.30176W;0;0;0;0;460;460;460;460;2000;990;1190;1190;2660;3590;5480;5480;5480;5570;6500;6500;6500;6500;6500;6500;6500;6500;6500;6500;6500;6500;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;3010;4230;4230;4230;4230;4230;4230;4230;4230;4230;4230;4230
