pr;position;depth;pr_kPa;bd;sand;silt;clay;OM;R
High PR;WT;Topsoil;251,7;1,178639356;0,43699266;0,460268775;0,102738566;2,054118112;1,90561844
High PR;WT;Topsoil;251,7;1,155523043;0,498379447;0,429960474;0,071660079;0,955816721;1,934167088
High PR;WT;Topsoil;251,7;1,309802487;0,684684685;0,253890254;0,061425061;1,419528103;1,028625682
High PR;WT;Topsoil;251,7;1,181638625;0,658184937;0,29070253;0,051112533;1,441352732;1,687418095
High PR;WT;Subsoil;4770;1,086978786;0,535645977;0,421678161;0,042675862;2,659564527;1,19967194
High PR;WT;Subsoil;4770;1,229919532;0,672793449;0,270967925;0,056238626;2,070052539;1,049737577
High PR;WT;Subsoil;4770;1,356547184;0,745118796;0,203904964;0,050976241;1,608404275;1,35192627
High PR;WT;Subsoil;4770;1,261741039;0,629975369;0,323004926;0,047019704;1,710560943;1,953518836
High PR;OWT;Topsoil;251,7;1,301097293;0,566901122;0,36780759;0,065291288;1,941677753;0,945105188
High PR;OWT;Topsoil;251,7;1,190563277;0,580592903;0,358476284;0,060930813;1,58141736;1,089501606
High PR;OWT;Topsoil;251,7;1,288441843;0,604469355;0,322965591;0,072565054;1,137700338;1,620986627
High PR;OWT;Topsoil;251,7;1,213752743;0,552619732;0,346822318;0,10055795;1,57451483;1,674048154
High PR;OWT;Subsoil;4770;1,257425018;0,582552402;0,369364629;0,048082969;2,756037567;1,589627442
High PR;OWT;Subsoil;4770;1,146525238;0,683295652;0,265291304;0,051413043;1,645828257;2,079048
High PR;OWT;Subsoil;4770;1,41594733;0,903565183;0,058699454;0,037735363;2,039198146;1,422396254
High PR;OWT;Subsoil;4770;1,268983175;0,419527511;0,457837456;0,122635033;1,83304252;1,184337064
Low PR;WT;Topsoil;25;1,272787125;0,524975636;0,386897672;0,088126692;2,227480737;2,195326286
Low PR;WT;Topsoil;25;1,216752012;0,505193245;0,411993909;0,082812846;2,25556236;1,040283715
Low PR;WT;Topsoil;25;1,269275786;0,476747253;0,438857143;0,084395604;2,158107771;2,131975961
Low PR;WT;Topsoil;25;1,256400878;0,512695125;0,376458702;0,110846173;2,728351127;2,704333649
Low PR;WT;Subsoil;4280;1,226042429;0,613003062;0,314055107;0,072941831;2,46069463;1,459761181
Low PR;WT;Subsoil;4280;1,355010973;0,527896012;0,378083278;0,094020709;2,356985023;1,309147817
Low PR;WT;Subsoil;4280;1,265252377;0,501023792;0,415813506;0,083162701;2,405820211;1,866153183
Low PR;WT;Subsoil;4280;1,156400878;0,565856079;0,347717122;0,086426799;2,368620264;1,747701707
Low PR;OWT;Topsoil;25;1,29444038;0,482799097;0,424266366;0,092934537;1,922279895;2,614349041
Low PR;OWT;Topsoil;25;1,092977323;0,526790451;0,381962865;0,091246684;2,520438534;1,418932854
Low PR;OWT;Topsoil;25;1,183394294;0,586042053;0,375213115;0,038744833;1,850167879;1,19322066
Low PR;OWT;Topsoil;25;1,260351134;0,475361307;0,433397181;0,091241512;1,578559587;1,565992288
Low PR;OWT;Subsoil;4280;1,257278713;0,545172921;0,383383002;0,071444077;2,425953199;1,032461876
Low PR;OWT;Subsoil;4280;1,204462326;0,477335448;0,416175724;0,106488828;2,48164291;2,546675627
Low PR;OWT;Subsoil;4280;1,161228969;0,662733858;0,278973228;0,058292913;1,88887357;1,15760393
Low PR;OWT;Subsoil;4280;1,275640088;0,596731861;0,3290347;0,074233438;2,060334463;1,590228362
