pr;position;depth;pr_kPa;Ks_1;bd;Kns_1kPa;Kns_2kPa;Kns_4kPa;Kns_6kPa;Kns_m;sand;silt;clay;OM;R
High PR;WT;Topsoil;251,7;3,783137842;1,178639356;0,052067842;0,051254138;0,03262292;0,015375828;-0,007760651;0,43699266;0,460268775;0,102738566;2,054118112;1,90561844
High PR;WT;Topsoil;251,7;4,666148537;1,155523043;0,08054758;0,048923144;0,017530093;0,026665813;-0,010569995;0,498379447;0,429960474;0,071660079;0,955816721;1,934167088
High PR;WT;Topsoil;251,7;3,352548644;1,309802487;0,031569528;0,074283928;0,022342344;0,024138089;-0,005474566;0,684684685;0,253890254;0,061425061;1,419528103;1,028625682
High PR;WT;Topsoil;251,7;6,760484224;1,181638625;0,109142178;0,060557963;0,060250358;0,015856904;-0,015760888;0,658184937;0,29070253;0,051112533;1,441352732;1,687418095
High PR;WT;Subsoil;4770;10,12558987;1,086978786;0,124926918;0,18034275;0,123247321;0,083181724;-0,012564662;0,535645977;0,421678161;0,042675862;2,659564527;1,19967194
High PR;WT;Subsoil;4770;13,36206456;1,229919532;0,244777292;0,1158217;0,13677709;0,090723595;-0,023284971;0,672793449;0,270967925;0,056238626;2,070052539;1,049737577
High PR;WT;Subsoil;4770;8,619367244;1,356547184;0,204345637;0,000256832;0,042655408;0,035082654;-0,022483381;0,745118796;0,203904964;0,050976241;1,608404275;1,35192627
High PR;WT;Subsoil;4770;4,346558852;1,261741039;0,077728287;0,034182468;0,017065191;0,0138529;-0,011303211;0,629975369;0,323004926;0,047019704;1,710560943;1,953518836
High PR;OWT;Topsoil;251,7;3,954652532;1,301097293;0,076350114;0,053956473;0,03396279;0,062529903;-0,002834171;0,566901122;0,36780759;0,065291288;1,941677753;0,945105188
High PR;OWT;Topsoil;251,7;5,430514704;1,190563277;0,105657974;0,055649622;0,02958948;0,056287162;-0,008834621;0,580592903;0,358476284;0,060930813;1,58141736;1,089501606
High PR;OWT;Topsoil;251,7;3,743246126;1,288441843;0,060351786;0,036865714;0,018089814;0,00990029;-0,00956478;0,604469355;0,322965591;0,072565054;1,137700338;1,620986627
High PR;OWT;Topsoil;251,7;4,041752393;1,213752743;0,05334667;0,071165243;0,0384186;0,036718055;-0,005369353;0,552619732;0,346822318;0,10055795;1,57451483;1,674048154
High PR;OWT;Subsoil;4770;10,27107418;1,257425018;0,158918012;0,244389484;0,225064208;0,266376094;0,016154578;0,582552402;0,369364629;0,048082969;2,756037567;1,589627442
High PR;OWT;Subsoil;4770;8,443216811;1,146525238;0,205443347;0;0,077446716;0,053535443;-0,017419663;0,683295652;0,265291304;0,051413043;1,645828257;2,079048
High PR;OWT;Subsoil;4770;12,97417865;1,41594733;0,195425442;0,210959235;0,055499813;0,126572023;-0,021268364;0,903565183;0,058699454;0,037735363;2,039198146;1,422396254
High PR;OWT;Subsoil;4770;2,979475514;1,268983175;0;0,087384562;0,044179236;0;-0,005159069;0,419527511;0,457837456;0,122635033;1,83304252;1,184337064
Low PR;WT;Topsoil;25;4,630144106;1,272787125;0,043866801;0,084607606;0;0;-0,013861682;0,524975636;0,386897672;0,088126692;2,227480737;2,195326286
Low PR;WT;Topsoil;25;1,110112788;1,216752012;0;0,040123178;0,01670467;0,011225284;-0,00045803;0,505193245;0,411993909;0,082812846;2,25556236;1,040283715
Low PR;WT;Topsoil;25;0,357075275;1,269275786;0;0,017514154;0,010934388;0,011737461;0,001260076;0,476747253;0,438857143;0,084395604;2,158107771;2,131975961
Low PR;WT;Topsoil;25;1,768041091;1,256400878;0,016320191;0,032918882;0;0;-0,005279256;0,512695125;0,376458702;0,110846173;2,728351127;2,704333649
Low PR;WT;Subsoil;4280;5,716241138;1,226042429;0,087817166;0,056677908;0;0;-0,018199051;0,613003062;0,314055107;0,072941831;2,46069463;1,459761181
